date,site,survey,plot,in,on,next,bare_rock,treatment,wave_exposure,total,percent_cover_barnacles,notes,total_in_treatment,total_out
Oct-16-2021,Brady_point,1,1,12,0,40,1,Cleared,Exposed,53,84,,34,222
Oct-16-2021,Brady_point,1,2,17,9,21,1,Cleared,Exposed,48,60.5,,34,222
Oct-16-2021,Brady_point,1,3,5,25,36,0,Leave,Exposed,66,80.5,,23,260
Oct-16-2021,Brady_point,1,4,0,13,61,4,Cleared,Exposed,78,77.5,,34,222
Oct-16-2021,Brady_point,1,5,4,24,64,1,Leave,Exposed,93,79.5,,23,260
Oct-16-2021,Brady_point,1,6,5,9,58,5,Cleared,Exposed,77,64,,34,222
Oct-16-2021,Brady_point,1,7,3,9,63,7,Kill,Exposed,82,55,,16,702
Oct-16-2021,Brady_point,1,8,1,4,27,1,Leave,Exposed,33,42.5,,23,260
Oct-16-2021,Brady_point,1,9,5,3,43,1,Kill,Exposed,52,51,,16,702
Oct-16-2021,Brady_point,1,10,2,9,69,0,Leave,Exposed,80,82.5,,23,260
Oct-16-2021,Brady_point,1,11,6,5,29,1,Kill,Exposed,41,54.5,,16,702
Oct-16-2021,Brady_point,1,12,13,9,49,1,Kill,Exposed,72,62,,16,
Oct-17-2021,Scotts_bay,1,1,7,16,26,0,Cleared,Exposed,49,68.5,,144,
Oct-17-2021,Scotts_bay,1,2,2,19,22,2,Kill,Exposed,45,87.5,,144,
Oct-17-2021,Scotts_bay,1,3,6,19,28,0,Leave,Exposed,53,76.5,,144,
Oct-17-2021,Scotts_bay,1,4,16,38,36,2,Cleared,Exposed,92,71,,144,
Oct-17-2021,Scotts_bay,1,5,7,33,18,2,Kill,Exposed,60,83.5,,144,
Oct-17-2021,Scotts_bay,1,6,7,65,12,4,Leave,Exposed,88,75.5,,144,
Oct-17-2021,Scotts_bay,1,7,15,53,34,1,Kill,Exposed,103,73,,144,
Oct-17-2021,Scotts_bay,1,8,17,78,84,3,Kill,Exposed,182,68,,144,
Oct-17-2021,Scotts_bay,1,9,11,61,20,3,Cleared,Exposed,95,70,,144,
Oct-17-2021,Scotts_bay,1,10,24,55,22,2,Cleared,Exposed,103,71.5,,144,
Oct-17-2021,Scotts_bay,1,11,3,13,22,0,Leave,Exposed,38,72.5,,144,
Oct-17-2021,Scotts_bay,1,12,16,49,86,6,Leave,Exposed,157,62,,144,
Oct-23-2021,Rance_island,1,1,2,0,6,1,Leave,Sheltered,9,20.5,,38,
Oct-23-2021,Rance_island,1,2,2,1,21,9,Leave,Sheltered,33,18,3 photos,38,
Oct-23-2021,Rance_island,1,3,1,2,27,1,Cleared,Sheltered,31,25,This is the second photo set on the camera role as it was plot two the changed to plot 3,38,
Oct-23-2021,Rance_island,1,4,5,0,1,2,Leave,Sheltered,8,20,,38,
Oct-23-2021,Rance_island,1,5,2,4,9,2,Kill,Sheltered,17,41,,38,
