date,site,survey,plot,in,on,next,bare_rock,treatment,total,notes
Oct-16-2021,Brady_point,1,1,12,0,40,1,Cleared,53,NA
Oct-16-2021,Brady_point,1,2,17,9,21,1,Cleared,48,NA
Oct-16-2021,Brady_point,1,3,5,25,36,0,Leave,66,NA
Oct-16-2021,Brady_point,1,4,0,13,61,4,Cleared,78,NA
Oct-16-2021,Brady_point,1,5,4,24,64,1,Leave,93,NA
Oct-16-2021,Brady_point,1,6,5,9,58,5,Cleared,77,NA
Oct-16-2021,Brady_point,1,7,3,9,63,7,Kill,82,NA
Oct-16-2021,Brady_point,1,8,1,4,27,1,Leave,33,NA
Oct-16-2021,Brady_point,1,9,5,3,43,1,Kill,52,NA
Oct-16-2021,Brady_point,1,10,2,9,69,0,Leave,80,NA
Oct-16-2021,Brady_point,1,11,6,5,29,1,Kill,41,NA
Oct-16-2021,Brady_point,1,12,13,9,49,1,Kill,72,NA
Oct-17-2021,Scotts_bay,1,1,7,16,26,0,Cleared,49,NA
Oct-17-2021,Scotts_bay,1,2,2,19,22,2,Kill,45,NA
Oct-17-2021,Scotts_bay,1,3,6,19,28,0,Leave,53,NA
Oct-17-2021,Scotts_bay,1,4,16,38,36,2,Cleared,92,NA
Oct-17-2021,Scotts_bay,1,5,7,33,18,2,Kill,60,NA
Oct-17-2021,Scotts_bay,1,6,7,65,12,4,Leave,88,NA
Oct-17-2021,Scotts_bay,1,7,15,53,34,1,Kill,103,NA
Oct-17-2021,Scotts_bay,1,8,17,78,84,3,Kill,182,NA
Oct-17-2021,Scotts_bay,1,9,11,61,20,3,Cleared,95,NA
Oct-17-2021,Scotts_bay,1,10,24,55,22,2,Cleared,103,NA
Oct-17-2021,Scotts_bay,1,11,3,13,22,0,Leave,38,NA
Oct-17-2021,Scotts_bay,1,12,16,49,86,6,Leave,157,NA
Oct-23-2021,Rance_island,1,1,2,0,6,1,Leave,9,NA
Oct-23-2021,Rance_island,1,2,2,1,21,9,Leave,33,3 photos
Oct-23-2021,Rance_island,1,3,1,2,27,1,Cleared,31,This is the second photo set on the camera role as it was plot two the changed to plot 3
Oct-23-2021,Rance_island,1,4,5,0,1,2,Leave,8,NA
Oct-23-2021,Rance_island,1,5,2,4,9,2,Kill,17,NA
Oct-23-2021,Rance_island,1,6,3,1,16,8,Cleared,28,NA
Oct-23-2021,Rance_island,1,7,1,3,10,4,Cleared,18,"three photos taken, photos show yellow in corner not there, 1 down from normal?"
Oct-23-2021,Rance_island,1,8,3,3,9,5,Kill,20,Vertical plot
Oct-23-2021,Rance_island,1,9,7,6,18,6,Kill,37,Treatment not written down
Oct-23-2021,Rance_island,1,10,0,0,14,1,Cleared,15,NA
Oct-23-2021,Rance_island,1,11,5,2,15,1,Kill,23,Treatment not written down
Oct-23-2021,Rance_island,1,12,7,13,39,8,Leave,67,NA
Oct-24-2021,Strawberry_point,1,1,7,8,23,6,Kill,44,NA
Oct-24-2021,Strawberry_point,1,2,5,1,15,3,Cleared,24,NA
Oct-24-2021,Strawberry_point,1,3,3,0,3,2,Leave,8,"We have two sites labeled as ""site 3"", we will need to compare photos to figure this out"
Oct-24-2021,Strawberry_point,1,4,7,1,8,6,Leave,22,NA
Oct-24-2021,Strawberry_point,1,5,15,0,2,0,Leave,17,NA
Oct-24-2021,Strawberry_point,1,6,3,0,2,0,Cleared,5,NA
Oct-24-2021,Strawberry_point,1,7,3,0,2,0,Kill,5,NA
Oct-24-2021,Strawberry_point,1,8,1,0,10,2,Leave,13,NA
Oct-24-2021,Strawberry_point,1,9,20,2,20,2,Cleared,44,Vertical sitting of the quadrat and tilted to a diamond and not square
Oct-24-2021,Strawberry_point,1,10,2,0,9,0,Kill,11,Far last plot towards the mouth of the inlet
Oct-24-2021,Strawberry_point,1,11,1,0,7,0,Kill,8,2nd one in from the left
Oct-24-2021,Strawberry_point,1,12,11,0,12,3,Cleared,26,First plot of the transect: Shot with yellow in the middle
Oct-30-2021,Brady_point,2,1,0,0,0,12,Cleared,12,NA
Oct-30-2021,Brady_point,2,2,0,0,0,7,Cleared,7,NA
Oct-30-2021,Brady_point,2,3,9,44,38,0,Leave,91,photo taken is off the paint is not quite in the right place but we can figure it out
Oct-30-2021,Brady_point,2,4,0,0,0,5,Cleared,5,NA
Oct-30-2021,Brady_point,2,5,14,21,80,0,Leave,115,NA
Oct-30-2021,Brady_point,2,6,0,0,0,32,Cleared,32,NA
Oct-30-2021,Brady_point,2,7,35,13,52,6,Kill,106,NA
Oct-30-2021,Brady_point,2,8,1,12,87,4,Leave,104,NA
Oct-30-2021,Brady_point,2,9,41,11,37,34,Kill,123,NA
Oct-30-2021,Brady_point,2,10,5,21,67,7,Leave,100,NA
Oct-30-2021,Brady_point,2,11,34,4,36,0,Kill,74,"Site was poorly killed first time around -Carter killed the rest on second week, Second set of photos is plot 11"
Oct-30-2021,Brady_point,2,12,67,1,33,0,Kill,101,1st photo in Carters Phone is plot 12
Oct-30-2021,Scotts_bay,2,1,0,0,0,3,Cleared,3,NA
Oct-30-2021,Scotts_bay,2,2,36,4,22,0,Kill,62,NA
Oct-30-2021,Scotts_bay,2,3,2,10,34,0,Leave,46,NA
Oct-30-2021,Scotts_bay,2,4,0,0,3,6,Cleared,9,NA
Oct-30-2021,Scotts_bay,2,5,24,9,15,0,Kill,48,NA
Oct-30-2021,Scotts_bay,2,6,7,7,31,0,Leave,45,NA
Oct-30-2021,Scotts_bay,2,7,65,17,46,3,Kill,131,NA
Oct-30-2021,Scotts_bay,2,8,112,13,78,1,Kill,204,NA
Oct-30-2021,Scotts_bay,2,9,0,0,5,9,Cleared,14,NA
Oct-30-2021,Scotts_bay,2,10,0,0,0,3,Cleared,3,NA
Oct-30-2021,Scotts_bay,2,11,5,7,18,0,Leave,30,NA
Oct-30-2021,Scotts_bay,2,12,20,20,82,8,Leave,130,NA
Nov-6-2021,Rance_island,2,1,0,1,3,1,Leave,5,NA
Nov-6-2021,Rance_island,2,2,0,0,0,7,Leave,7,Crevice present where most snails found 
Nov-6-2021,Rance_island,2,3,0,0,0,2,Cleared,2,NA
Nov-6-2021,Rance_island,2,4,4,8,9,4,Leave,25,Crevice present where most snails found outside barnacle tests (9 in total)
Nov-6-2021,Rance_island,2,5,34,2,0,0,Kill,36,NA
Nov-6-2021,Rance_island,2,6,0,0,0,0,Cleared,0,NA
Nov-6-2021,Rance_island,2,7,0,0,0,5,Cleared,5,NA
Nov-6-2021,Rance_island,2,8,26,7,10,0,Kill,43,All 10 next found in crevice 
Nov-6-2021,Rance_island,2,9,23,1,11,4,Kill,39,NA
Nov-6-2021,Rance_island,2,10,0,0,0,0,Cleared,0,NA
Nov-6-2021,Rance_island,2,11,29,7,0,1,Kill,37,NA
Nov-6-2021,Rance_island,2,12,5,3,12,0,Leave,20,NA
Nov-6-2021,Strawberry_point,2,1,28,2,1,0,Kill,31,NA
Nov-6-2021,Strawberry_point,2,2,0,0,0,0,Cleared,0,NA
Nov-6-2021,Strawberry_point,2,3,5,0,5,5,Leave,15,NA
Nov-6-2021,Strawberry_point,2,4,7,3,7,1,Leave,18,NA
Nov-6-2021,Strawberry_point,2,5,14,0,7,0,Leave,21,NA
Nov-6-2021,Strawberry_point,2,6,0,0,0,0,Cleared,0,NA
Nov-6-2021,Strawberry_point,2,7,14,0,2,0,Kill,16,NA
Nov-6-2021,Strawberry_point,2,8,2,0,8,3,Leave,13,NA
Nov-6-2021,Strawberry_point,2,9,0,0,0,7,Cleared,7,Crevice present where most snails found 
Nov-6-2021,Strawberry_point,2,10,7,0,0,0,Kill,7,NA
Nov-6-2021,Strawberry_point,2,11,13,0,5,1,Kill,19,NA
Nov-6-2021,Strawberry_point,2,12,0,0,0,2,Cleared,2,NA
Nov-13-2021,Brady_point,3,1,,,,,Cleared,,
Nov-13-2021,Brady_point,3,2,,,,,Cleared,,
Nov-13-2021,Brady_point,3,3,,,,,Leave,,
Nov-13-2021,Brady_point,3,4,,,,,Cleared,,
Nov-13-2021,Brady_point,3,5,,,,,Leave,,
Nov-13-2021,Brady_point,3,6,,,,,Cleared,,
Nov-13-2021,Brady_point,3,7,,,,,Kill,,
Nov-13-2021,Brady_point,3,8,,,,,Leave,,
Nov-13-2021,Brady_point,3,9,,,,,Kill,,
Nov-13-2021,Brady_point,3,10,,,,,Leave,,
Nov-13-2021,Brady_point,3,11,,,,,Kill,,
Nov-13-2021,Brady_point,3,12,,,,,Kill,,
Nov-13-2021,Scotts_bay,3,1,,,,,Cleared,,
Nov-13-2021,Scotts_bay,3,2,,,,,Kill,,
Nov-13-2021,Scotts_bay,3,3,,,,,Leave,,
Nov-13-2021,Scotts_bay,3,4,,,,,Cleared,,
Nov-13-2021,Scotts_bay,3,5,,,,,Kill,,
Nov-13-2021,Scotts_bay,3,6,,,,,Leave,,
Nov-13-2021,Scotts_bay,3,7,,,,,Kill,,
Nov-13-2021,Scotts_bay,3,8,,,,,Kill,,
Nov-13-2021,Scotts_bay,3,9,,,,,Cleared,,
Nov-13-2021,Scotts_bay,3,10,,,,,Cleared,,
Nov-13-2021,Scotts_bay,3,11,,,,,Leave,,
Nov-13-2021,Scotts_bay,3,12,,,,,Leave,,
Nov-,Rance_island,3,1,,,,,Leave,,
,Rance_island,3,2,,,,,Leave,,
,Rance_island,3,3,,,,,Cleared,,
,Rance_island,3,4,,,,,Leave,,
,Rance_island,3,5,,,,,Kill,,
,Rance_island,3,6,,,,,Cleared,,
,Rance_island,3,7,,,,,Cleared,,
,Rance_island,3,8,,,,,Kill,,
,Rance_island,3,9,,,,,Kill,,
,Rance_island,3,10,,,,,Cleared,,
,Rance_island,3,11,,,,,Kill,,
,Rance_island,3,12,,,,,Leave,,
,Strawberry_point,3,1,,,,,Kill,,
,Strawberry_point,3,2,,,,,Cleared,,
,Strawberry_point,3,3,,,,,Leave,,
,Strawberry_point,3,4,,,,,Leave,,
,Strawberry_point,3,5,,,,,Leave,,
,Strawberry_point,3,6,,,,,Cleared,,
,Strawberry_point,3,7,,,,,Kill,,
,Strawberry_point,3,8,,,,,Leave,,
,Strawberry_point,3,9,,,,,Cleared,,
,Strawberry_point,3,10,,,,,Kill,,
,Strawberry_point,3,11,,,,,Kill,,
,Strawberry_point,3,12,,,,,Cleared,,
