Rock ID,Habitat_type,Before,After,Proportion,Notes
1,In,6,6,1,
1,On,31,27,0.870967742,
2,In,10,9,0.9,
2,On,28,24,0.857142857,
3,In,1,1,1,
3,On,19,17,0.894736842,
4,In,16,16,1,
4,On,11,10,0.909090909,
5,In,7,7,1,
5,On,16,9,0.5625,
6,In,1,1,1,
6,On,31,24,0.774193548,
7,In,11,10,0.909090909,
7,On,39,29,0.743589744,
8,In,3,3,1,
8,On,53,43,0.811320755,
9,In,17,13,0.764705882,
9,On,42,40,0.952380952,
10,In,0,0,#DIV/0!,
10,On,14,14,1,
11,In,11,11,1,
11,On,28,24,0.857142857,
12,In,2,2,1,
12,On,24,24,1,
13,In,5,5,1,
13,On,30,26,0.866666667,
14,In,0,0,#DIV/0!,
14,On,29,23,0.793103448,
15,In,0,0,#DIV/0!,
15,On,10,6,0.6,
16,In,5,5,1,
16,On,11,8,0.727272727,
17,In,0,0,#DIV/0!,
17,On,8,5,0.625,
18,In,14,14,1,
18,On,9,9,1,
19,In,9,7,0.777777778,
19,On,21,15,0.714285714,
20,In,14,12,0.857142857,
20,On,29,22,0.75862069,
21,In,13,12,0.923076923,
21,On,27,21,0.777777778,
22,In,7,7,1,
22,On,19,10,0.526315789,
23,In,8,8,1,
23,On,14,8,0.571428571,
24,In,10,10,1,
24,On,11,10,0.909090909,
25,In,11,9,0.818181818,
25,On,20,12,0.6,
26,In,8,8,1,
26,On,14,9,0.642857143,
27,In,6,6,1,
27,On,16,13,0.8125,
28,In,7,7,1,
28,On,21,17,0.80952381,
29,In,20,20,1,
29,On,18,7,0.388888889,
30,In,18,18,1,
30,On,10,9,0.9,
31,In,6,6,1,
31,On,11,11,1,
32,In,6,6,1,
32,On,10,9,0.9,
33,In,9,8,0.888888889,
33,On,8,7,0.875,
34,In,12,12,1,
34,On,21,18,0.857142857,
