Rock ID,Habitat_type,In_before,On_before,Bare_before,In_after,On_after,Bare_after,In_proportion_removed,On_proportion_removed,Bare_proportion_removed,Barnacle_before,Barnacle_after,Barnacle_proportion_removed,Split_proportion_removed,Notes
1,Barnacle,6,31,,6,27,,1,0.870967742,#DIV/0!,37,33,0.891891892,0.891891892,
2,Bare_rock,,,6,,,5,#DIV/0!,#DIV/0!,0.833333333,0,0,#DIV/0!,0.833333333,
3,Bare_rock,,,6,,,4,#DIV/0!,#DIV/0!,0.666666667,0,0,#DIV/0!,0.666666667,
4,Barnacle,10,28,,9,24,,0.9,0.857142857,#DIV/0!,38,33,0.868421053,0.868421053,
5,Bare_rock,,,7,,,1,#DIV/0!,#DIV/0!,0.142857143,0,0,#DIV/0!,0.142857143,
6,Barnacle,1,19,,1,17,,1,0.894736842,#DIV/0!,20,18,0.9,0.9,
7,Bare_rock,,,7,,,1,#DIV/0!,#DIV/0!,0.142857143,0,0,#DIV/0!,0.142857143,
8,Bare_rock,,,18,,,5,#DIV/0!,#DIV/0!,0.277777778,0,0,#DIV/0!,0.277777778,One was covered in seaweed and included in non_removed barnacle
9,Barnacle,16,11,,16,10,,1,0.909090909,#DIV/0!,27,26,0.962962963,0.962962963,
10,Bare_rock,,,13,,,0,#DIV/0!,#DIV/0!,0,0,0,#DIV/0!,0,
11,Barnacle,7,16,,7,9,,1,0.5625,#DIV/0!,23,16,0.695652174,0.695652174,
12,Barnacle,1,31,,1,24,,1,0.774193548,#DIV/0!,32,25,0.78125,0.78125,
13,Barnacle,11,39,,10,29,,0.909090909,0.743589744,#DIV/0!,50,39,0.78,0.78,
14,Barnacle,3,53,,3,43,,1,0.811320755,#DIV/0!,56,46,0.821428571,0.821428571,
15,Bare_rock,,,6,,,1,#DIV/0!,#DIV/0!,0.166666667,0,0,#DIV/0!,0.166666667,
16,Barnacle,17,42,,13,40,,0.764705882,0.952380952,#DIV/0!,59,53,0.898305085,0.898305085,
17,Bare_rock,,,7,,,4,#DIV/0!,#DIV/0!,0.571428571,0,0,#DIV/0!,0.571428571,
18,Barnacle,0,14,,0,14,,#DIV/0!,1,#DIV/0!,14,14,1,1,
19,Barnacle,11,28,,11,24,,1,0.857142857,#DIV/0!,39,35,0.897435897,0.897435897,
20,Barnacle,2,24,,2,24,,1,1,#DIV/0!,26,26,1,1,
21,Barnacle,5,30,,5,26,,1,0.866666667,#DIV/0!,35,31,0.885714286,0.885714286,
22,Barnacle,0,29,,0,23,,#DIV/0!,0.793103448,#DIV/0!,29,23,0.793103448,0.793103448,
23,Barnacle,0,10,,0,6,,#DIV/0!,0.6,#DIV/0!,10,6,0.6,0.6,
24,Barnacle,5,11,,5,8,,1,0.727272727,#DIV/0!,16,13,0.8125,0.8125,
25,Barnacle,0,8,,0,5,,#DIV/0!,0.625,#DIV/0!,8,5,0.625,0.625,
26,Bare_rock,,,6,,,1,#DIV/0!,#DIV/0!,0.166666667,0,0,#DIV/0!,0.166666667,
27,Bare_rock,,,7,,,2,#DIV/0!,#DIV/0!,0.285714286,0,0,#DIV/0!,0.285714286,prior to splash two in notable divit of rock (1 of them remains) 
28,Bare_rock,,,7,,,5,#DIV/0!,#DIV/0!,0.714285714,0,0,#DIV/0!,0.714285714,Interesting note that when in big clump seem sturdier (this is case here)
29,Barnacle,14,9,,14,9,,1,1,#DIV/0!,23,23,1,1,
30,Barnacle,9,21,,7,15,,0.777777778,0.714285714,#DIV/0!,30,22,0.733333333,0.733333333,
31,Bare_rock,,,11,,,5,#DIV/0!,#DIV/0!,0.454545455,0,0,#DIV/0!,0.454545455,3 noted in divit of rock prior to splash (and all stay)
32,Bare_rock,,,5,,,2,#DIV/0!,#DIV/0!,0.4,0,0,#DIV/0!,0.4,
33,Bare_rock,,,15,,,8,#DIV/0!,#DIV/0!,0.533333333,0,0,#DIV/0!,0.533333333,5 prior noted in divit (3 remain after splash)
34,Bare_rock,,,14,,,3,#DIV/0!,#DIV/0!,0.214285714,0,0,#DIV/0!,0.214285714,
35,Barnacle,14,29,,12,22,,0.857142857,0.75862069,#DIV/0!,43,34,0.790697674,0.790697674,
36,Barnacle,13,27,,12,21,,0.923076923,0.777777778,#DIV/0!,40,33,0.825,0.825,
37,Barnacle,7,19,,7,10,,1,0.526315789,#DIV/0!,26,17,0.653846154,0.653846154,
38,Barnacle,8,14,,8,8,,1,0.571428571,#DIV/0!,22,16,0.727272727,0.727272727,
39,Bare_rock,,,8,,,4,#DIV/0!,#DIV/0!,0.5,0,0,#DIV/0!,0.5,two adjacent to limpet (1 remains)
40,Barnacle,10,11,,10,10,,1,0.909090909,#DIV/0!,21,20,0.952380952,0.952380952,
41,Barnacle,11,20,,9,12,,0.818181818,0.6,#DIV/0!,31,21,0.677419355,0.677419355,
42,Barnacle,8,14,,8,9,,1,0.642857143,#DIV/0!,22,17,0.772727273,0.772727273,
